Nombre del artista,Nombre del album,Nombre de singles,URL,URL imagen album
Nae:Tek,Underground Deep & Dub Techno Mix Guest Dj: Gentleman (DJ Mix),The Arc - Mixed,https://open.spotify.com/track/6ytcivn2ql8395vkoxhl6S,https://i.scdn.co/image/ab67616d0000b273c77037ed1529015d9d1ecdf5
Nae:Tek,Underground Deep & Dub Techno Mix Guest Dj: Gentleman (DJ Mix),Libelle - Angel Lebailly & David Heine Rmx - Mixed,https://open.spotify.com/track/7flDNE1xX93r0F1NBBATX3,https://i.scdn.co/image/ab67616d0000b273c77037ed1529015d9d1ecdf5
Nae:Tek,Underground Deep & Dub Techno Mix Guest Dj: Gentleman (DJ Mix),Southwark Bridge - Mixed,https://open.spotify.com/track/1ZNyKYP11xoXnNjfz07zas,https://i.scdn.co/image/ab67616d0000b273c77037ed1529015d9d1ecdf5
Nae:Tek,Dub Waves 1.0 (DJ Mix),Orca Black - Mixed,https://open.spotify.com/track/5y0JDd5HZb0Z00wW2bELfY,https://i.scdn.co/image/ab67616d0000b2731f1c6436e7ff42bda20ff235
Nae:Tek,Dub Waves 1.0 (DJ Mix),City Lights - Mixed,https://open.spotify.com/track/4g2Cgjbi6cKoSoQcSUGXfT,https://i.scdn.co/image/ab67616d0000b2731f1c6436e7ff42bda20ff235
Nae:Tek,Dub Waves 1.0 (DJ Mix),Imaginary - Mixed,https://open.spotify.com/track/4Om7d7kZgN9Pfr7XgBNaw5,https://i.scdn.co/image/ab67616d0000b2731f1c6436e7ff42bda20ff235
Nae:Tek,Dub Waves 1.0 (DJ Mix),Falsehood - Mixed,https://open.spotify.com/track/3TbUArhgkwacAZhI5UfyKM,https://i.scdn.co/image/ab67616d0000b2731f1c6436e7ff42bda20ff235
Nae:Tek,Dub Waves 1.0 (DJ Mix),Coming - Davor Tosovic Rmx - Mixed,https://open.spotify.com/track/3mHcyCKnVm9sssV8g9MYqc,https://i.scdn.co/image/ab67616d0000b2731f1c6436e7ff42bda20ff235
Nae:Tek,Dub Waves 1.0 (DJ Mix),Libelle - Gambusia Rmx - Mixed,https://open.spotify.com/track/4Aqmb300hqv7L934mUpr9I,https://i.scdn.co/image/ab67616d0000b2731f1c6436e7ff42bda20ff235
Nae:Tek,Dub Waves 1.0 (DJ Mix),Maeher - Dirty4mat Redub Rmx - Mixed,https://open.spotify.com/track/2nHk3p7DztG8AplxGmyorU,https://i.scdn.co/image/ab67616d0000b2731f1c6436e7ff42bda20ff235
Nae:Tek,Dub Waves 1.0 (DJ Mix),Conversion - Lozz HT Rmx - Mixed,https://open.spotify.com/track/4aT8CKmEftSjGngaf7seEN,https://i.scdn.co/image/ab67616d0000b2731f1c6436e7ff42bda20ff235
Nae:Tek,Dub Waves 1.0 (DJ Mix),The Vision - Mixed,https://open.spotify.com/track/1pdaLbadyfIW0OpqnS1Yqx,https://i.scdn.co/image/ab67616d0000b2731f1c6436e7ff42bda20ff235
